UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
138372,,,,,,,,131.0,,79.0,,,,,,5.0,5.0,1.0,,,,6.0,,7.0,,
138479,,,,,,,,210.0,,145.0,,,,,,4.0,2.0,4.0,,,,13.0,,21.0,1.0,1.0
138488,,,,,,,,107.0,,53.0,,,,,,6.0,,,,,,6.0,,26.0,,
138497,,,,,,,,80.0,,39.0,,,,,,4.0,5.0,2.0,,,,,,19.0,,
138558,,,,,,,,307.0,,125.0,,,,,,42.0,7.0,12.0,10.0,2.0,,15.0,3.0,60.0,12.0,
138600,,,,,,,,340.0,,93.0,,,,,,23.0,29.0,19.0,20.0,5.0,,56.0,,32.0,6.0,
138655,,,,,,,,45.0,,11.0,,,,,,3.0,7.0,,,,,,5.0,5.0,6.0,
138664,,,,,,,,11.0,,1.0,,,,,,1.0,1.0,,,,,2.0,4.0,1.0,,
138682,,,,,,,,327.0,,162.0,,,,,,14.0,23.0,8.0,11.0,,,10.0,1.0,56.0,5.0,1.0
138691,,,,,,,,379.0,,188.0,,1.0,,,,29.0,7.0,17.0,23.0,13.0,,22.0,,60.0,4.0,
138716,,,,,,,,596.0,,199.0,,,,,,72.0,16.0,22.0,19.0,2.0,,90.0,,98.0,14.0,
138761,,,,,,,,62.0,,20.0,,,,,,5.0,5.0,1.0,17.0,1.0,,2.0,,8.0,,
138789,,,,,,,,716.0,,347.0,,,,,,90.0,8.0,21.0,19.0,,,46.0,,130.0,19.0,
138813,,,,,,,,167.0,,82.0,,,,,,13.0,,,,,,,,65.0,,
138822,,,,,,,,55.0,,36.0,,,,,,11.0,1.0,,,,,1.0,,1.0,1.0,
138840,,,,,,,,324.0,,169.0,,,,,,10.0,22.0,11.0,11.0,,,19.0,,57.0,,
138868,,,,,,,,193.0,,82.0,,,,,,35.0,2.0,6.0,29.0,,,,,5.0,,
138901,,,,,,,,273.0,,101.0,,,,,,35.0,6.0,11.0,5.0,5.0,,26.0,,57.0,5.0,
138929,,,,,,,,88.0,,30.0,3.0,,,,,12.0,,3.0,,,,3.0,,18.0,,
138938,,,,,,,,33.0,,18.0,,,,,,3.0,2.0,,,,,0.0,2.0,8.0,,
138947,,,,,,,,580.0,,213.0,23.0,,,,,23.0,35.0,32.0,43.0,3.0,,40.0,,150.0,,
138956,,,,,,,,344.0,,181.0,,,,,,38.0,12.0,4.0,,,,38.0,,52.0,6.0,
139010,,,,,,,,186.0,,74.0,,,,,,25.0,4.0,9.0,2.0,3.0,,23.0,,26.0,4.0,
139074,,,,,,,,11.0,,4.0,,,,,,2.0,1.0,,,,,,,1.0,,
139092,,,,,,,,10.0,,5.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,
139144,,,,,,,,556.0,,179.0,,,,,,69.0,19.0,15.0,56.0,,,89.0,,87.0,20.0,13.0
139153,,,,,,,,66.0,,28.0,,,,,,13.0,2.0,,,,,3.0,,15.0,,
139199,,,,,,,,418.0,,193.0,,,,,,23.0,9.0,7.0,35.0,1.0,,11.0,10.0,53.0,10.0,3.0
139205,,,,,,,,85.0,,34.0,,,,,,12.0,1.0,1.0,9.0,,,6.0,,9.0,3.0,
139214,,,,,,,,23.0,,11.0,,,,,,3.0,,1.0,,,,,,7.0,,
139250,,,,,,,,293.0,,123.0,,,,,,23.0,7.0,10.0,14.0,,,36.0,,42.0,6.0,
139278,,,,,,,,541.0,,267.0,,8.0,,,,27.0,20.0,13.0,24.0,,,41.0,,100.0,,2.0
139287,,,,,,,,13.0,,2.0,,,,,,1.0,2.0,,,,,,,4.0,,
139311,,,,,,,,724.0,,267.0,,,,,,111.0,21.0,32.0,35.0,8.0,,64.0,1.0,98.0,8.0,
139348,,,,,,,,78.0,,20.0,,,,,,8.0,8.0,5.0,1.0,,,2.0,3.0,14.0,,
139357,,,,,,,,283.0,,139.0,,,,,,18.0,20.0,9.0,14.0,,,27.0,,39.0,,
139366,,,,,,,,952.0,,376.0,,,,,,115.0,17.0,47.0,28.0,5.0,,100.0,,151.0,29.0,
139384,,,,,,,,387.0,,188.0,,,,,,35.0,14.0,12.0,6.0,,,22.0,,90.0,,
139393,,,,,,,,217.0,,76.0,,,,,,23.0,11.0,4.0,31.0,2.0,,20.0,3.0,18.0,14.0,
139463,,,,,,,,379.0,,186.0,,,,,,44.0,9.0,12.0,15.0,,,35.0,,48.0,6.0,
139506,,,,,,,,20.0,,11.0,,,,,,2.0,,,,,,,1.0,2.0,,
139579,,,,,,,,134.0,,61.0,,,,,,30.0,,,,,,,,32.0,3.0,
139621,,,,,,,,238.0,,88.0,,,,,,42.0,4.0,3.0,9.0,,,27.0,,44.0,7.0,
139630,,,,,,,,150.0,,57.0,,,,,,5.0,11.0,2.0,29.0,3.0,,4.0,,24.0,11.0,
139658,,,,,,,,10530.0,,2224.0,962.0,875.0,,,,660.0,536.0,1247.0,362.0,885.0,,679.0,9.0,867.0,176.0,11.0
139700,,,,,,,,389.0,,170.0,,,,,,49.0,11.0,19.0,11.0,,,39.0,,58.0,2.0,
139719,,,,,,,,614.0,,148.0,3.0,9.0,,,,84.0,15.0,42.0,13.0,2.0,,84.0,,79.0,12.0,
139746,,,,,,,,9.0,,5.0,,,,,,1.0,1.0,,,,,,,1.0,,
139755,,,,,,,,6885.0,,1133.0,,,,,,832.0,421.0,2473.0,183.0,30.0,,575.0,,670.0,205.0,
139764,,,,,,,,296.0,,121.0,,,,,,48.0,6.0,11.0,13.0,2.0,,17.0,0.0,39.0,16.0,
139861,,,,,,,,954.0,,365.0,,,,,,127.0,34.0,29.0,29.0,7.0,,108.0,5.0,125.0,53.0,
139931,,,,,,,,2639.0,,824.0,21.0,16.0,,,,295.0,95.0,138.0,93.0,27.0,,448.0,,408.0,129.0,
139940,,,,,,,,4213.0,,1419.0,66.0,25.0,,,,440.0,228.0,191.0,104.0,9.0,,458.0,5.0,674.0,205.0,
139959,,,,,,,,9960.0,,2028.0,144.0,566.0,,,,862.0,655.0,1495.0,560.0,133.0,,1446.0,19.0,1068.0,394.0,
139968,,,,,,,,328.0,,150.0,,,,,,31.0,8.0,3.0,5.0,3.0,,44.0,1.0,53.0,9.0,
139986,,,,,,,,379.0,,158.0,,,,,,36.0,23.0,11.0,10.0,,,39.0,,55.0,,
139995,,,,,,,,10.0,,7.0,,,,,,,,,,,,,,2.0,,
140003,,,,,,,,22.0,,10.0,,,,,,2.0,1.0,,,,,,3.0,4.0,,
140012,,,,,,,,575.0,,282.0,,,,,,20.0,37.0,16.0,21.0,,,37.0,,93.0,,
140146,,,,,,,,52.0,,17.0,0.0,,,,,8.0,11.0,1.0,2.0,,,,,9.0,,
140234,,,,,,,,189.0,,83.0,,,,,,16.0,13.0,4.0,28.0,4.0,,,,24.0,,
140243,,,,,,,,333.0,,180.0,,3.0,,,,14.0,20.0,8.0,11.0,,,21.0,,53.0,,
140252,,,,,,,,426.0,,151.0,4.0,,,,,72.0,14.0,6.0,10.0,6.0,,21.0,8.0,123.0,,
140331,,,,,,,,597.0,,261.0,,0.0,,,,24.0,31.0,19.0,70.0,,,55.0,,85.0,,
140340,,,,,,,,74.0,,51.0,,,,,,3.0,,1.0,,,,,,3.0,,
140447,,,,,,,,1622.0,,526.0,44.0,41.0,,,,153.0,55.0,215.0,139.0,26.0,,83.0,,241.0,,
140553,,,,,,,,465.0,,176.0,,,,,,55.0,27.0,11.0,24.0,5.0,,29.0,,64.0,17.0,6.0
140562,,,,,,,,1025.0,,248.0,69.0,44.0,,,,129.0,39.0,67.0,16.0,22.0,,48.0,,163.0,,
140678,,,,,,,,241.0,,108.0,,2.0,,,,9.0,23.0,4.0,3.0,,,23.0,4.0,30.0,5.0,
140696,,,,,,,,189.0,,71.0,1.0,,,,,14.0,15.0,5.0,42.0,,,,,33.0,,
140720,,,,,,,,182.0,,54.0,3.0,,,,,19.0,10.0,5.0,13.0,,,27.0,,25.0,,
140818,,,,,,,,335.0,,178.0,,,,,,16.0,5.0,4.0,23.0,,,30.0,14.0,33.0,15.0,3.0
140827,,,,,,,,16.0,,10.0,,,,,,1.0,,0.0,,,,0.0,,4.0,,
140872,,,,,,,,297.0,,129.0,1.0,,,,,45.0,12.0,4.0,38.0,5.0,,24.0,0.0,18.0,6.0,
140942,,,,,,,,368.0,,185.0,,,,,,19.0,20.0,11.0,5.0,,,27.0,,74.0,,
140951,,,,,,,,1514.0,,552.0,,,,,,168.0,46.0,54.0,50.0,,,65.0,15.0,331.0,6.0,23.0
140960,,,,,,,,673.0,,226.0,1.0,,,,,70.0,22.0,19.0,36.0,6.0,,102.0,,90.0,28.0,
140988,,,,,,,,260.0,,114.0,,,,,,25.0,16.0,8.0,42.0,1.0,,16.0,,33.0,1.0,
141006,,,,,,,,175.0,,85.0,,,,,,14.0,13.0,4.0,14.0,,,19.0,,23.0,,
141015,,,,,,,,55.0,,40.0,,,,,,4.0,1.0,,,,,2.0,2.0,6.0,,
141060,,,,,,,,575.0,,203.0,,,,,,57.0,41.0,32.0,12.0,6.0,,66.0,,120.0,13.0,3.0
141167,,,,,,,,149.0,,76.0,,,,,,5.0,12.0,2.0,15.0,2.0,,1.0,,14.0,,2.0
141185,,,,,,,,142.0,,60.0,,,,,,19.0,3.0,5.0,12.0,1.0,,10.0,,16.0,7.0,0.0
141237,,,,,,,,147.0,,72.0,,,,,,10.0,2.0,1.0,7.0,,,10.0,3.0,34.0,2.0,
141255,,,,,,,,333.0,,165.0,,,,,,23.0,12.0,7.0,3.0,,,29.0,,66.0,,
141264,,,,,,,,1252.0,,523.0,,4.0,,,,154.0,36.0,57.0,24.0,18.0,,155.0,,174.0,49.0,
141325,,,,,,,,173.0,,63.0,,1.0,,,,14.0,11.0,4.0,18.0,2.0,,11.0,5.0,21.0,4.0,
141334,,,,,,,,1440.0,,513.0,1.0,,,,,183.0,52.0,56.0,73.0,13.0,,170.0,,223.0,56.0,
141361,,,,,,,,208.0,,93.0,,,,,,38.0,2.0,7.0,21.0,4.0,,6.0,,15.0,,
141486,,,,,,,,331.0,,107.0,,,,,,41.0,9.0,24.0,30.0,2.0,,29.0,2.0,51.0,,
141565,,,,,,,,586.0,,245.0,,,,,,27.0,35.0,18.0,67.0,6.0,,50.0,2.0,59.0,10.0,
141574,,,,,,,,4268.0,,1412.0,241.0,39.0,,,,147.0,403.0,313.0,363.0,44.0,,333.0,26.0,258.0,99.0,10.0
