UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
139278,,,,,,,,545.0,,272.0,,,,,,26.0,33.0,14.0,31.0,,,43.0,,77.0,,3.0
139287,,,,,,,,21.0,,7.0,,,,,,2.0,3.0,,2.0,,,0.0,,,0.0,
139311,,,,,,,,716.0,,272.0,,,,,,94.0,24.0,29.0,29.0,5.0,,66.0,1.0,102.0,9.0,
139348,,,,,,,,81.0,,22.0,,,,,,8.0,8.0,5.0,1.0,,,2.0,3.0,14.0,,
139357,,,,,,,,275.0,,119.0,,,,,,18.0,29.0,6.0,,,,24.0,,37.0,,
139366,,,,,,,,941.0,,370.0,,,,,,128.0,15.0,43.0,30.0,4.0,,100.0,,146.0,24.0,
139384,,,,,,,,384.0,,187.0,,,,,,16.0,33.0,11.0,15.0,,,26.0,,86.0,,
139393,,,,,,,,222.0,,76.0,,,,,,25.0,10.0,4.0,30.0,3.0,,23.0,2.0,20.0,12.0,
139463,,,,,,,,368.0,,180.0,,,,,,39.0,9.0,13.0,12.0,1.0,,38.0,,47.0,5.0,
139506,,,,,,,,18.0,,12.0,,,,,,2.0,,,,,,1.0,,,,
139579,,,,,,,,152.0,,70.0,,,,,,34.0,1.0,,,,,,,35.0,5.0,
139621,,,,,,,,225.0,,86.0,,,,,,42.0,5.0,3.0,7.0,,,32.0,,32.0,7.0,
139630,,,,,,,,129.0,,59.0,,,,,,4.0,10.0,2.0,26.0,2.0,,5.0,,17.0,,
139658,,,,,,,,10677.0,,2182.0,979.0,929.0,,,,716.0,484.0,1206.0,376.0,915.0,,695.0,10.0,911.0,207.0,11.0
139700,,,,,,,,390.0,,165.0,,1.0,,,,52.0,10.0,19.0,11.0,,,38.0,,56.0,3.0,
139719,,,,,,,,518.0,,89.0,4.0,,,,,81.0,15.0,44.0,13.0,1.0,,88.0,,70.0,10.0,
139746,,,,,,,,9.0,,5.0,,,,,,1.0,1.0,,,,,,,1.0,,
139755,,,,,,,,6957.0,,1139.0,,,,,,955.0,435.0,2324.0,185.0,29.0,,549.0,,744.0,205.0,
139764,,,,,,,,310.0,,122.0,,,,,,51.0,6.0,11.0,12.0,2.0,,17.0,1.0,42.0,15.0,
139861,,,,,,,,918.0,,345.0,,,,,,113.0,36.0,38.0,32.0,6.0,,102.0,3.0,126.0,50.0,
139931,,,,,,,,2653.0,,820.0,24.0,11.0,,,,299.0,92.0,151.0,94.0,27.0,,460.0,,428.0,120.0,
139940,,,,,,,,4216.0,,1379.0,60.0,22.0,,,,416.0,219.0,192.0,101.0,6.0,,436.0,6.0,686.0,206.0,
139959,,,,,,,,9712.0,,2010.0,147.0,555.0,,,,828.0,658.0,1452.0,507.0,119.0,,1376.0,20.0,1085.0,405.0,
139968,,,,,,,,328.0,,150.0,,,,,,30.0,7.0,5.0,5.0,3.0,,45.0,1.0,50.0,11.0,
139986,,,,,,,,383.0,,162.0,,,,,,37.0,21.0,12.0,10.0,,,35.0,,61.0,,
139995,,,,,,,,9.0,,7.0,,,,,,1.0,,,,,,,,1.0,,
140003,,,,,,,,26.0,,14.0,,,,,,1.0,2.0,,,,,,2.0,4.0,,
140012,,,,,,,,498.0,,219.0,,,,,,18.0,46.0,12.0,11.0,,,30.0,,108.0,,
140146,,,,,,,,55.0,,21.0,0.0,,,,,20.0,2.0,1.0,,,,,,8.0,,
140164,,,,,,,,2516.0,,956.0,15.0,7.0,,,,442.0,133.0,159.0,80.0,10.0,,89.0,31.0,421.0,59.0,
140234,,,,,,,,190.0,,81.0,,,,,,15.0,13.0,5.0,26.0,4.0,,,,25.0,,
140243,,,,,,,,319.0,,169.0,,,,,,15.0,19.0,8.0,9.0,,,21.0,,54.0,,
140252,,,,,,,,408.0,,146.0,2.0,,,,,65.0,7.0,8.0,8.0,4.0,,42.0,8.0,96.0,,3.0
140331,,,,,,,,580.0,,258.0,,0.0,,,,22.0,31.0,19.0,57.0,,,58.0,,95.0,,
140340,,,,,,,,45.0,,26.0,,,,,,2.0,,1.0,,,,1.0,,2.0,,
140447,,,,,,,,1618.0,,536.0,42.0,46.0,,,,157.0,48.0,209.0,133.0,28.0,,80.0,,246.0,,
140553,,,,,,,,500.0,,172.0,,,,,,57.0,29.0,14.0,24.0,5.0,,46.0,,76.0,17.0,7.0
140562,,,,,,,,1015.0,,219.0,69.0,51.0,,,,124.0,41.0,71.0,9.0,24.0,,46.0,,174.0,,
140599,,,,,,,,202.0,,110.0,1.0,2.0,,,,20.0,3.0,3.0,1.0,,,14.0,6.0,25.0,,
140678,,,,,,,,227.0,,106.0,,2.0,,,,8.0,23.0,6.0,5.0,,,23.0,2.0,27.0,7.0,
140696,,,,,,,,185.0,,71.0,,,,,,14.0,13.0,6.0,37.0,,,9.0,,27.0,,
140720,,,,,,,,197.0,,57.0,1.0,,,,,19.0,10.0,6.0,33.0,1.0,,27.0,,30.0,4.0,
140818,,,,,,,,312.0,,173.0,,,,,,12.0,6.0,5.0,22.0,,,16.0,12.0,27.0,21.0,
140827,,,,,,,,17.0,,12.0,,,,,,1.0,1.0,0.0,,,,0.0,,2.0,,
140872,,,,,,,,287.0,,129.0,1.0,,,,,17.0,3.0,6.0,28.0,0.0,,26.0,9.0,53.0,6.0,
140942,,,,,,,,356.0,,183.0,,,,,,16.0,19.0,10.0,4.0,,,25.0,,79.0,,
140951,,,,,,,,1425.0,,535.0,,,,,,149.0,47.0,48.0,78.0,,,68.0,23.0,401.0,8.0,44.0
140960,,,,,,,,678.0,,224.0,1.0,,,,,62.0,26.0,29.0,32.0,7.0,,105.0,,99.0,24.0,
140988,,,,,,,,268.0,,120.0,,,,,,30.0,21.0,6.0,41.0,1.0,,12.0,,32.0,,2.0
141006,,,,,,,,181.0,,84.0,,,,,,13.0,17.0,3.0,5.0,,,22.0,,33.0,,
141015,,,,,,,,51.0,,35.0,,,,,,5.0,1.0,,1.0,,,2.0,2.0,5.0,,
141060,,,,,,,,565.0,,201.0,,,,,,56.0,42.0,25.0,11.0,8.0,,65.0,,115.0,13.0,5.0
141097,,,,,,,,589.0,,254.0,,,,,,74.0,13.0,31.0,6.0,1.0,,73.0,,83.0,25.0,
141158,,,,,,,,141.0,,67.0,,3.0,,,,9.0,11.0,2.0,3.0,,,9.0,,28.0,,
141167,,,,,,,,154.0,,70.0,,,,,,5.0,14.0,3.0,21.0,2.0,,1.0,,14.0,,2.0
141185,,,,,,,,134.0,,54.0,,,,,,18.0,2.0,4.0,15.0,1.0,,10.0,,16.0,7.0,
141237,,,,,,,,140.0,,65.0,,,,,,11.0,2.0,2.0,5.0,,,12.0,3.0,34.0,,
141255,,,,,,,,333.0,,169.0,,,,,,22.0,13.0,7.0,5.0,,,29.0,,67.0,,
141264,,,,,,,,1339.0,,537.0,,1.0,,,,170.0,37.0,57.0,30.0,19.0,,165.0,,187.0,59.0,
141325,,,,,,,,162.0,,57.0,,1.0,,,,15.0,11.0,5.0,13.0,,,10.0,3.0,12.0,8.0,
141334,,,,,,,,1366.0,,472.0,1.0,,,,,164.0,48.0,49.0,75.0,14.0,,164.0,,229.0,54.0,
141361,,,,,,,,229.0,,94.0,,,,,,44.0,14.0,8.0,25.0,4.0,,8.0,,15.0,,
141468,,,,,,,,119.0,,46.0,,,,,,18.0,4.0,1.0,,,,,,49.0,,
141486,,,,,,,,342.0,,129.0,,,,,,39.0,8.0,20.0,28.0,3.0,,30.0,1.0,51.0,,
141565,,,,,,,,604.0,,253.0,,,,,,27.0,31.0,18.0,73.0,6.0,,51.0,3.0,66.0,9.0,
141574,,,,,,,,4406.0,,1455.0,260.0,42.0,,,,155.0,404.0,333.0,374.0,43.0,,324.0,23.0,275.0,95.0,12.0
141608,,,,,,,,10.0,,4.0,,,,,,1.0,1.0,,,,,,1.0,1.0,0.0,0.0
141644,,,,,,,,576.0,,257.0,3.0,,,,,110.0,20.0,34.0,44.0,2.0,,4.0,,43.0,3.0,2.0
141680,,,,,,,,336.0,,157.0,,,,,,13.0,8.0,15.0,27.0,1.0,,27.0,3.0,32.0,3.0,1.0
141796,,,,,,,,473.0,,262.0,,,,,,13.0,15.0,10.0,44.0,,,34.0,,46.0,5.0,1.0
141802,,,,,,,,164.0,,73.0,,,,,,10.0,3.0,4.0,18.0,,,12.0,1.0,20.0,4.0,
141811,,,,,,,,407.0,,199.0,,,,,,14.0,12.0,7.0,48.0,,,29.0,2.0,44.0,4.0,6.0
141839,,,,,,,,280.0,,141.0,,,,,,12.0,12.0,5.0,38.0,,,13.0,,28.0,3.0,5.0
141848,,,,,,,,11.0,,6.0,,,,,,2.0,2.0,,,,,,0.0,1.0,,
141936,,,,,,,,12.0,,10.0,,,,,,1.0,,,,,,,,,,
141945,,,,,,,,10.0,,7.0,,,,,,3.0,,,,,,,,,,
141963,,,,,,,,536.0,,,,,,,,74.0,189.0,149.0,31.0,1.0,,4.0,1.0,57.0,,
141981,,,,,,,,190.0,,84.0,,,,,,10.0,14.0,7.0,31.0,1.0,,11.0,,7.0,1.0,5.0
141990,,,,,,,,163.0,,65.0,,,,,,8.0,6.0,7.0,23.0,,,17.0,2.0,15.0,2.0,2.0
142054,,,,,,,,54.0,,27.0,,,,,,12.0,1.0,1.0,,,,2.0,,2.0,,
142090,,,,,,,,28.0,,10.0,,,,,,5.0,3.0,,,,,1.0,,3.0,,
142115,,,,,,,,2339.0,,853.0,7.0,,,,,86.0,260.0,236.0,174.0,27.0,,142.0,2.0,255.0,58.0,11.0
142179,,,,,,,,148.0,,68.0,1.0,3.0,,,,16.0,6.0,6.0,4.0,,,8.0,,21.0,,
142276,,,,,,,,1769.0,,645.0,9.0,,,,,208.0,118.0,129.0,85.0,70.0,,144.0,,246.0,59.0,8.0
142285,,,,,,,,2308.0,,606.0,46.0,107.0,,,,105.0,253.0,336.0,140.0,14.0,,126.0,35.0,227.0,117.0,24.0
142294,,,,,,,,256.0,,100.0,,0.0,,,,24.0,9.0,10.0,40.0,4.0,,30.0,1.0,25.0,4.0,
142328,,,,,,,,442.0,,195.0,,,,,,14.0,18.0,19.0,28.0,2.0,,32.0,,74.0,12.0,1.0
142337,,,,,,,,34.0,,20.0,,,,,,4.0,,1.0,,,,,,8.0,,
